dataset,variant,tag,metric,n_cliff,n_other,cliff,other,penalty
tox21,seed0,desc,auc,54,729,0.8079009503585459,0.8484744984836218,0.04057354812507585
tox21,seed0,fuse_gated,auc,54,729,0.8087341647452972,0.8386461941085889,0.029912029363291626
tox21,seed1,desc,auc,40,743,0.6032110222543201,0.8334575730610663,0.23024655080674616
tox21,seed1,fuse_gated,auc,40,743,0.5216657628506216,0.8164047519948398,0.29473898914421814
tox21,seed2,desc,auc,48,735,0.8296094760023899,0.8135720660446449,-0.01603740995774494
tox21,seed2,fuse_gated,auc,48,735,0.7684533446835938,0.8044860182469313,0.0360326735633375
tox21,seed3,desc,auc,28,755,0.7537393673577885,0.815987159623864,0.062247792266075574
tox21,seed3,fuse_gated,auc,28,755,0.7482407407407407,0.8551704919812263,0.10692975124048565
tox21,seed4,desc,auc,42,741,0.8309957811491614,0.8503832966724282,0.019387515523266785
tox21,seed4,fuse_gated,auc,42,741,0.8160077555386838,0.8452153241589974,0.029207568620313595
clintox,seed4,desc,auc,14,134,0.5520833333333334,0.7309920634920635,0.1789087301587301
clintox,seed4,fuse_gated,auc,14,134,0.546875,0.8331626984126985,0.2862876984126985
lipophilicity,seed2,desc,rmse,13,407,0.7130144271992805,0.6651064167748164,0.04790801042446413
lipophilicity,seed2,fuse_gated,rmse,13,407,0.8118141584663201,0.7220724603386282,0.08974169812769195
bace,seed0,desc,auc,18,134,0.58125,0.8313496519200538,0.2500996519200538
bace,seed0,fuse_gated,auc,18,134,0.525,0.7990119020884797,0.2740119020884797
bace,seed1,desc,auc,13,139,0.35714285714285715,0.9124616059675297,0.5553187488246725
bace,seed1,fuse_gated,auc,13,139,0.45238095238095244,0.8824045634050022,0.43002361102404973
bace,seed2,desc,auc,19,133,0.6477272727272727,0.9154216867469881,0.2676944140197154
bace,seed2,fuse_gated,auc,19,133,0.6477272727272727,0.9004819277108433,0.25275465498357064
bace,seed4,desc,auc,57,95,0.60625,0.8591111111111112,0.2528611111111112
bace,seed4,fuse_gated,auc,57,95,0.69625,0.8093333333333333,0.11308333333333331
sider,seed0,desc,auc,11,133,0.5990079365079366,0.63144860183077,0.032440665322833406
sider,seed0,fuse_gated,auc,11,133,0.6643939393939393,0.6049198431631483,-0.05947409623079103
sider,seed2,desc,auc,10,134,0.7532387057387058,0.6721622140364171,-0.0810764917022887
sider,seed2,fuse_gated,auc,10,134,0.6405448717948717,0.6421582643674602,0.0016133925725884124
sider,seed3,desc,auc,10,134,0.5719769119769119,0.6601104446981149,0.08813353272120295
sider,seed3,fuse_gated,auc,10,134,0.6184505772005773,0.6489834297404694,0.03053285253989213
