dataset,model,ece_valid_raw,ece_valid_cal,ece_test_raw,ece_test_cal
tox21,rf,0.04016008834865663,0.04163284398052937,0.03994038106605352,0.039745243270033384
tox21,gnn,0.13734865708860944,0.11181716986725608,0.14702212306298315,0.11885890022719266
tox21,trf,0.03596499857226571,0.03606846235224443,0.037222441300130915,0.03862138057853421
tox21,hybrid,0.1265874045532144,0.10409815117172404,0.13007814523596098,0.10520861815031879
tox21,ens,0.11500925139532693,0.09440849800826984,0.1243480362587429,0.10080395243992317
bbbp,rf,0.07936688059685276,0.07825103314483865,0.2604730880143595,0.26211204745021516
bbbp,gnn,0.08524486188795055,0.09198142529702655,0.28232517312554756,0.15813959784367504
bbbp,trf,0.05832961376975564,0.0602536353410459,0.197802464167277,0.13386691288620817
bbbp,hybrid,0.07865756224183473,0.05291525668957654,0.10197736468969607,0.13416443385329901
bbbp,ens,0.09300141445561953,0.05682706628360001,0.13839461756687538,0.168471689025561
clintox,rf,0.0686924832092749,0.05871805246617344,0.07275699280403758,0.06502623694974022
clintox,gnn,0.04214370411795539,0.04316598821330716,0.042785151383361295,0.04499474268507314
clintox,trf,0.02306206786149257,0.08240231891741626,0.01180373373869303,0.03253044812260448
clintox,hybrid,0.10131017742930232,0.03833633802227072,0.09331265857090823,0.03845297686151556
clintox,ens,0.02306206786149257,0.08240231891741626,0.01180373373869303,0.03253044812260448
