tag,dataset,n_splits,task_type,coverage,coverage_pos,coverage_neg,mean_set_size,pct_ambiguous,pct_empty,n_tasks_scored,n,coverage_gap,mean_width,width_spread
rf,tox21,5,classification,0.9073137456302071,0.09766799469593879,0.9658019082441915,0.9767076687108371,2.0391530607027137,4.368386189619002,12.0,725.0,0.731374563020708,,
rf,bbbp,5,classification,0.9014634146341465,0.9820401252740899,0.5875610288420616,1.055609756097561,5.560975609756097,0.0,1.0,205.0,0.14634146341464316,,
rf,clintox,5,classification,0.9182432432432431,0.5045936189414449,0.5133858894728459,0.979054054054054,0.47297297297297297,2.5675675675675675,2.0,148.0,1.8243243243243086,,
rf,esol,5,regression,0.9175438596491228,,,,,,,114.0,1.7543859649122737,8.13852453287949,4.628805995154618
rf,lipophilicity,5,regression,0.9019047619047619,,,,,,,420.0,0.1904761904761898,4.551545250809708,2.972542676621446
gnn,tox21,5,classification,0.8996626661877952,0.7234745262831337,0.910434283402197,1.2169989862839155,22.103594662180797,0.40369603378925156,12.0,725.0,-0.03373338122047187,,
gnn,bbbp,5,classification,0.9209756097560975,0.9284945488449653,0.8845101505578169,1.255609756097561,25.560975609756095,0.0,1.0,205.0,2.0975609756097526,,
gnn,clintox,5,classification,0.9216216216216215,0.8197569337973297,0.8217431305875241,1.0966216216216216,9.864864864864863,0.20270270270270271,2.0,148.0,2.162162162162147,,
gnn,esol,5,regression,0.9298245614035088,,,,,,,114.0,2.9824561403508767,7.080024486407842,4.010220379119427
gnn,lipophilicity,5,regression,0.9014285714285715,,,,,,,420.0,0.142857142857153,4.162344972889264,2.7231069560030616
ens,tox21,5,classification,0.8981601235932372,0.7239166109735002,0.9101326355627274,1.1728203689416143,17.73943384340411,0.45739694924266594,12.0,725.0,-0.18398764067627837,,
ens,bbbp,5,classification,0.9073170731707316,0.9264195769820093,0.840082863181175,1.1531707317073172,15.317073170731708,0.0,1.0,205.0,0.731707317073159,,
ens,clintox,5,classification,0.9263513513513514,0.6851630292821078,0.6825096627670998,0.9425675675675675,0.0,5.743243243243244,2.0,148.0,2.635135135135144,,
ens,esol,5,regression,0.9192982456140351,,,,,,,114.0,1.9298245614035068,7.0710590212434825,3.9788782599879027
ens,lipophilicity,5,regression,0.9047619047619048,,,,,,,420.0,0.4761904761904816,4.169150398020209,2.7218691450803028
