experiment,model,dataset,variant,first,second,abs_diff,threshold
device: CPU vs T4,gin_ref,tox21,deepchem,0.7290920810835617,0.744501362027567,0.015409280944005288,0.02
device: CPU vs T4,gin_ref,tox21,seed0,0.8432560852514898,0.8351209023735381,0.008135182877951674,0.02
device: CPU vs T4,gin_ref,tox21,seed1,0.7752412400587114,0.780233252594266,0.004992012535554591,0.02
device: CPU vs T4,gin_ref,tox21,seed2,0.7933620862539753,0.7766176073685723,0.01674447888540298,0.02
device: CPU vs T4,gin_ref,tox21,seed3,0.8270517353903787,0.8394803222869638,0.012428586896585103,0.02
device: CPU vs T4,gin_ref,tox21,seed4,0.8143649544258428,0.8236469074751348,0.009281953049292024,0.02
device: CPU vs T4,gin_ref,bbbp,deepchem,0.7018980633972445,0.7187590326621062,0.01686096926486169,0.02
device: CPU vs T4,gin_ref,bbbp,seed0,0.875496524329692,0.8896474677259185,0.014150943396226467,0.02
device: CPU vs T4,gin_ref,bbbp,seed1,0.92,0.903047619047619,0.016952380952381052,0.02
device: CPU vs T4,gin_ref,bbbp,seed2,0.8710999054522534,0.8395052001260637,0.03159470532618969,0.02
device: CPU vs T4,gin_ref,bbbp,seed3,0.9233283056812468,0.919683257918552,0.0036450477626948086,0.02
device: CPU vs T4,gin_ref,bbbp,seed4,0.9397458369851008,0.936678352322524,0.0030674846625767804,0.02
device: CPU vs T4,gin_ref,clintox,deepchem,0.8699223230111562,0.8712221527126125,0.0012998297014562565,0.02
device: CPU vs T4,gin_ref,clintox,seed0,0.9528597308488612,0.935539596273292,0.017320134575569246,0.02
device: CPU vs T4,gin_ref,clintox,seed1,0.8956521739130435,0.8942028985507247,0.0014492753623188692,0.02
device: CPU vs T4,gin_ref,clintox,seed2,0.8967013888888888,0.948784722222222,0.05208333333333315,0.02
device: CPU vs T4,gin_ref,clintox,seed3,0.8524216524216524,0.8783475783475783,0.025925925925925908,0.02
device: CPU vs T4,gin_ref,clintox,seed4,0.8852541802266861,0.8521448210077432,0.03310935921894287,0.02
device: CPU vs T4,gin_ref,bace,deepchem,0.8036231884057972,0.8047101449275362,0.0010869565217390686,0.02
device: CPU vs T4,gin_ref,bace,seed0,0.7584250043652873,0.7315348349921424,0.026890169373144812,0.02
device: CPU vs T4,gin_ref,bace,seed1,0.8476398760707126,0.8490978676872608,0.0014579916165482487,0.02
device: CPU vs T4,gin_ref,bace,seed2,0.8486793837123991,0.8338224504768892,0.014856933235509961,0.02
device: CPU vs T4,gin_ref,bace,seed3,0.8896103896103896,0.8896103896103896,0.0,0.02
device: CPU vs T4,gin_ref,bace,seed4,0.841038961038961,0.8083982683982684,0.03264069264069258,0.02
device: CPU vs T4,gin_ref,sider,deepchem,0.5867904301243774,0.5859801600757865,0.0008102700485909109,0.02
device: CPU vs T4,gin_ref,sider,seed0,0.6347470443871344,0.6321207981180197,0.0026262462691146737,0.02
device: CPU vs T4,gin_ref,sider,seed1,0.617785426259386,0.6259385557535588,0.008153129494172795,0.02
device: CPU vs T4,gin_ref,sider,seed2,0.6459636537778106,0.6485323420342293,0.0025686882564186497,0.02
device: CPU vs T4,gin_ref,sider,seed3,0.6263555251602781,0.6210866521033876,0.0052688730568904996,0.02
device: CPU vs T4,gin_ref,sider,seed4,0.5863653376400775,0.5828475527552788,0.0035177848847987025,0.02
device: CPU vs T4,gin_ref,esol,deepchem,1.1751303745674817,1.1610526031193074,0.014077771448174348,0.1
device: CPU vs T4,gin_ref,esol,seed0,1.6073840855972008,1.5160021260853953,0.0913819595118055,0.1
device: CPU vs T4,gin_ref,esol,seed1,1.1692990326700965,1.0827588793462826,0.08654015332381393,0.1
device: CPU vs T4,gin_ref,esol,seed2,0.9369098247769778,0.9074301729885776,0.029479651788400174,0.1
device: CPU vs T4,gin_ref,esol,seed3,0.9120115100573752,0.7571228259382401,0.15488868411913514,0.1
device: CPU vs T4,gin_ref,esol,seed4,0.9996573263867852,1.049204954657844,0.04954762827105874,0.1
device: CPU vs T4,gin_ref,lipophilicity,deepchem,0.7781472735437959,0.7454357624548078,0.032711511088988066,0.1
device: CPU vs T4,gin_ref,lipophilicity,seed0,0.9512424783277444,0.9368977887978198,0.014344689529924626,0.1
device: CPU vs T4,gin_ref,lipophilicity,seed1,0.6625332978155232,0.6870586844798025,0.02452538666427928,0.1
device: CPU vs T4,gin_ref,lipophilicity,seed2,0.7817469331957402,0.795575884674551,0.013828951478810803,0.1
device: CPU vs T4,gin_ref,lipophilicity,seed3,0.6861517923814251,0.6849067670998981,0.0012450252815270346,0.1
device: CPU vs T4,gin_ref,lipophilicity,seed4,0.6376554550771895,0.6547493078203526,0.017093852743163107,0.1
device: CPU vs T4,gin_ref,freesolv,deepchem,2.429133848623451,2.3120138693681853,0.11711997925526552,0.1
device: CPU vs T4,gin_ref,freesolv,seed0,1.5894502370909964,1.6746906667625436,0.08524042967154721,0.1
device: CPU vs T4,gin_ref,freesolv,seed1,1.9296164569111904,2.3809667113024817,0.4513502543912913,0.1
device: CPU vs T4,gin_ref,freesolv,seed2,1.2965355584952842,1.0758138207984125,0.22072173769687176,0.1
device: CPU vs T4,gin_ref,freesolv,seed3,1.6037141401807318,1.5279453333978954,0.07576880678283637,0.1
device: CPU vs T4,gin_ref,freesolv,seed4,1.2099453218660634,1.131613544563046,0.07833177730301744,0.1
device: CPU vs T4,fuse_concat,tox21,deepchem,0.7430043874977001,0.7419585786121637,0.0010458088855364034,0.02
device: CPU vs T4,fuse_concat,tox21,seed0,0.8160319265049419,0.8167991523800571,0.0007672258751151295,0.02
device: CPU vs T4,fuse_concat,tox21,seed1,0.79855846372535,0.8193816806910333,0.020823216965683344,0.02
device: CPU vs T4,fuse_concat,tox21,seed2,0.7942297622095521,0.7699054813369015,0.024324280872650594,0.02
device: CPU vs T4,fuse_concat,tox21,seed3,0.8482693178975663,0.833595561590688,0.014673756306878283,0.02
device: CPU vs T4,fuse_concat,tox21,seed4,0.826088882381709,0.8185758860404748,0.007512996341234146,0.02
device: CPU vs T4,fuse_concat,bbbp,deepchem,0.6825320358416032,0.718662684266307,0.036130648424703815,0.02
device: CPU vs T4,fuse_concat,bbbp,seed0,0.8974677259185699,0.9066534260178748,0.009185700099304861,0.02
device: CPU vs T4,fuse_concat,bbbp,seed1,0.9487619047619048,0.9533333333333334,0.00457142857142856,0.02
device: CPU vs T4,fuse_concat,bbbp,seed2,0.9566656161361486,0.9576110936022691,0.0009454774661205034,0.02
device: CPU vs T4,fuse_concat,bbbp,seed3,0.9653092006033184,0.9616641528406236,0.0036450477626948086,0.02
device: CPU vs T4,fuse_concat,bbbp,seed4,0.952965235173824,0.960268770084721,0.007303534910896969,0.02
device: CPU vs T4,fuse_concat,clintox,deepchem,0.9864968894449658,0.9899445660862616,0.0034476766412957494,0.02
device: CPU vs T4,fuse_concat,clintox,seed0,0.9414660973084886,0.96268115942029,0.021215062111801353,0.02
device: CPU vs T4,fuse_concat,clintox,seed1,0.9891304347826088,0.9833333333333334,0.005797101449275366,0.02
device: CPU vs T4,fuse_concat,clintox,seed2,0.9973958333333331,1.0,0.0026041666666668517,0.02
device: CPU vs T4,fuse_concat,clintox,seed3,0.9581196581196582,0.964957264957265,0.006837606837606813,0.02
