dataset,rows,unique_molecules,duplicate_groups,conflicting_groups,rows_in_conflicting_groups,groups_spanning_splits,variant
tox21,7823,7823,0,0,0,0,deepchem
bbbp,2039,1975,60,10,20,0,deepchem
clintox,1480,1461,19,19,38,0,deepchem
esol,1128,1117,11,6,12,0,deepchem
lipophilicity,4200,4200,0,0,0,0,deepchem
bace,1513,1513,0,0,0,0,deepchem
sider,1427,1427,0,0,0,0,deepchem
freesolv,642,642,0,0,0,0,deepchem
tox21,7823,7823,0,0,0,0,seed0
bbbp,2039,1975,60,10,20,1,seed0
clintox,1480,1461,19,19,38,0,seed0
esol,1128,1117,11,6,12,1,seed0
lipophilicity,4200,4200,0,0,0,0,seed0
bace,1513,1513,0,0,0,0,seed0
sider,1427,1427,0,0,0,0,seed0
freesolv,642,642,0,0,0,0,seed0
tox21,7823,7823,0,0,0,0,seed1
bbbp,2039,1975,60,10,20,1,seed1
clintox,1480,1461,19,19,38,0,seed1
esol,1128,1117,11,6,12,1,seed1
lipophilicity,4200,4200,0,0,0,0,seed1
bace,1513,1513,0,0,0,0,seed1
sider,1427,1427,0,0,0,0,seed1
freesolv,642,642,0,0,0,0,seed1
tox21,7823,7823,0,0,0,0,seed2
bbbp,2039,1975,60,10,20,2,seed2
clintox,1480,1461,19,19,38,0,seed2
esol,1128,1117,11,6,12,0,seed2
lipophilicity,4200,4200,0,0,0,0,seed2
bace,1513,1513,0,0,0,0,seed2
sider,1427,1427,0,0,0,0,seed2
freesolv,642,642,0,0,0,0,seed2
tox21,7823,7823,0,0,0,0,seed3
bbbp,2039,1975,60,10,20,1,seed3
clintox,1480,1461,19,19,38,0,seed3
esol,1128,1117,11,6,12,0,seed3
lipophilicity,4200,4200,0,0,0,0,seed3
bace,1513,1513,0,0,0,0,seed3
sider,1427,1427,0,0,0,0,seed3
freesolv,642,642,0,0,0,0,seed3
tox21,7823,7823,0,0,0,0,seed4
bbbp,2039,1975,60,10,20,2,seed4
clintox,1480,1461,19,19,38,0,seed4
esol,1128,1117,11,6,12,1,seed4
lipophilicity,4200,4200,0,0,0,0,seed4
bace,1513,1513,0,0,0,0,seed4
sider,1427,1427,0,0,0,0,seed4
freesolv,642,642,0,0,0,0,seed4
