tag,dataset,n_splits,protocol,n_tasks,ece_raw,ece_raw_ci,ece_cal,ece_cal_ci,delta,delta_ci,helps,hurts
desc,tox21,5,valid-fit,12,0.06298970455393195,0.014442226373127478,0.05446819158913792,0.014754732369032172,-0.008521512964794033,0.003256474210778351,True,False
desc,bbbp,5,valid-fit,1,0.06913350432024552,0.02948778419260263,0.06464495467953678,0.02732060920106666,-0.004488549640708736,0.021932329114185804,False,False
desc,clintox,5,valid-fit,2,0.11853500039884231,0.08716817217161632,0.07438948541964213,0.016648421062026107,-0.04414551497920018,0.07710010242510568,False,False
desc,bace,5,valid-fit,1,0.12359214590069052,0.029845392632861498,0.11536264104045117,0.04403182668436632,-0.008229504860239342,0.0379866721374771,False,False
desc,sider,5,valid-fit,27,0.14198050255591804,0.010424830477114651,0.13110563986978974,0.008742906143990677,-0.010874862686128315,0.011787371228208264,False,False
fuse_gated,tox21,5,valid-fit,12,0.06503492331072104,0.006367166682903701,0.05340178854387488,0.01078161667041564,-0.011633134766846156,0.014367527799674562,False,False
fuse_gated,bbbp,5,valid-fit,1,0.06985744565024461,0.029078690930657826,0.05199069908942967,0.026419795885166495,-0.017866746560814932,0.015135008009943504,True,False
fuse_gated,clintox,5,valid-fit,2,0.023375897964526153,0.015794287509125433,0.023919533147452467,0.015625792374914016,0.0005436351829263157,0.0012517894784334614,False,False
fuse_gated,bace,5,valid-fit,1,0.16783694853069325,0.06878111461805829,0.10574026318423543,0.035580108765073136,-0.062096685346457826,0.05968496118827516,True,False
fuse_gated,sider,5,valid-fit,27,0.14805541595403618,0.014104327278245373,0.1298056178174272,0.011630631933872735,-0.018249798136608993,0.02033180879452368,False,False
fuse_gated_nograph,tox21,5,valid-fit,12,0.06355690328163491,0.020474948615149067,0.04713302177497462,0.015288422754435309,-0.016423881506660288,0.017338292641550276,False,False
fuse_gated_nograph,bbbp,5,valid-fit,1,0.06710475735668048,0.03402355146286093,0.05022490912027725,0.023222227004845993,-0.016879848236403223,0.018590193118816774,False,False
fuse_gated_nograph,clintox,5,valid-fit,2,0.03901506307684964,0.023961023454584222,0.04211492354919376,0.03166136525142077,0.0030998604723441194,0.020203132107277432,False,False
fuse_gated_nograph,bace,5,valid-fit,1,0.13276806965156684,0.03163744833788188,0.11793741378020636,0.06771485675588221,-0.014830655871360468,0.06562813539594492,False,False
fuse_gated_nograph,sider,5,valid-fit,27,0.14909110077930987,0.02611178052856315,0.14121486754949922,0.022573472256736497,-0.00787623322981065,0.012053757852058792,False,False
fuse_proposed_gpu,tox21,5,valid-fit,12,0.07512106136563534,0.019301208548363268,0.05675451775370939,0.01360060589022418,-0.018366543611925957,0.014816075110831552,True,False
fuse_proposed_gpu,bbbp,5,valid-fit,1,0.06977543365444525,0.03556995314872778,0.05146534268019611,0.018032094714837067,-0.018310090974249123,0.024478534496468616,False,False
fuse_proposed_gpu,clintox,5,valid-fit,2,0.03029590583546505,0.02201102851078555,0.027983503319088367,0.012354907757336005,-0.0023124025163766813,0.016135616935711073,False,False
fuse_proposed_gpu,bace,5,valid-fit,1,0.14655814847204937,0.06723009539598965,0.14155265737209227,0.0517140551529285,-0.005005491099957118,0.02884287621309992,False,False
fuse_proposed_gpu,sider,5,valid-fit,27,0.1571825950763608,0.01226282297602332,0.1304625393543175,0.0067191243097338045,-0.02672005572204329,0.008389293546436957,True,False
fuse_concat_gpu,tox21,5,valid-fit,12,0.06635758819724105,0.023815769110933034,0.05044432763841149,0.010998173139054197,-0.01591326055882956,0.017578110150063494,False,False
fuse_concat_gpu,bbbp,5,valid-fit,1,0.09197784274780414,0.061288640445387906,0.06532298198001787,0.012907267354440153,-0.02665486076778626,0.060115869023683675,False,False
fuse_concat_gpu,clintox,5,valid-fit,2,0.02367225492965461,0.017120374227441358,0.024920035735515482,0.010447522086408716,0.0012477808058608743,0.013214513360350167,False,False
fuse_concat_gpu,bace,5,valid-fit,1,0.14176136052194407,0.08509142667386403,0.12520381925631746,0.049078197655305016,-0.016557541265626592,0.06044946321516289,False,False
fuse_concat_gpu,sider,5,valid-fit,27,0.21443219112307924,0.04764149938743075,0.1926457384571004,0.03515252721761097,-0.021786452665978805,0.015725837708543258,True,False
fuse_xattn_gpu,tox21,5,valid-fit,12,0.08622500772561843,0.02817085353365319,0.0595925786372423,0.023883065338295966,-0.026632429088376118,0.008216997807178874,True,False
fuse_xattn_gpu,bbbp,5,valid-fit,1,0.06806771877099124,0.02046591921350112,0.052392612411123175,0.024418526783562156,-0.015675106359868088,0.013521155001493366,True,False
fuse_xattn_gpu,clintox,5,valid-fit,2,0.02574169606571856,0.028091196702346867,0.023600796700932063,0.015425296359032035,-0.0021408993647865,0.017156564216816952,False,False
fuse_xattn_gpu,bace,5,valid-fit,1,0.13845334848552,0.054791161008759574,0.11435582783396273,0.04741260667888408,-0.024097520651557243,0.03467248471150224,False,False
fuse_xattn_gpu,sider,5,valid-fit,27,0.23036578661842078,0.02959804113890004,0.1887147104780385,0.018966017774244944,-0.0416510761403823,0.020209515146077654,True,False
fuse_bilinear_gpu,tox21,5,valid-fit,12,0.07108329501422796,0.014766543037070002,0.05756881024069312,0.008907051179815396,-0.01351448477353483,0.007972847873373351,True,False
fuse_bilinear_gpu,bbbp,5,valid-fit,1,0.0530077614758037,0.015954565048201304,0.04673705654991493,0.011925121531600802,-0.006270704925888772,0.007299147578494979,False,False
fuse_bilinear_gpu,clintox,5,valid-fit,2,0.03908832845599579,0.05510624070680975,0.036933243323255024,0.05404748805486529,-0.0021550851327407626,0.012959667453319237,False,False
fuse_bilinear_gpu,bace,5,valid-fit,1,0.13946741776075128,0.10164353722693303,0.1047579832647294,0.0641234199120172,-0.0347094344960219,0.07993773123729847,False,False
fuse_bilinear_gpu,sider,5,valid-fit,27,0.16721617395213234,0.024408220429337404,0.13399560708058939,0.01730462214309237,-0.033220566871542935,0.027748223535704938,True,False
gin_ref_gpu,tox21,5,valid-fit,12,0.0765172628573239,0.028365803918118455,0.05696192018271233,0.01466824439283452,-0.019555342674611557,0.01637795748315262,True,False
gin_ref_gpu,bbbp,5,valid-fit,1,0.0725977293212102,0.03359840713982418,0.06619841207558032,0.038430026390601175,-0.006399317245629888,0.010718407295277026,False,False
gin_ref_gpu,clintox,5,valid-fit,2,0.09324058210949049,0.08922619046407551,0.0738818465962985,0.048503068230201896,-0.01935873551319201,0.04219815733124454,False,False
gin_ref_gpu,bace,5,valid-fit,1,0.13572629166256941,0.04684062849815623,0.10597437353429809,0.025310150866118524,-0.029751918128271337,0.026570752352837672,True,False
gin_ref_gpu,sider,5,valid-fit,27,0.15305193192928968,0.011952131412627406,0.1335319764085577,0.010340618375662223,-0.019519955520731967,0.0061096751960264305,True,False
attentivefp,tox21,5,valid-fit,12,0.07791102309000324,0.012339315007018539,0.06806005963449088,0.01649540128469982,-0.00985096345551237,0.006676051490648668,True,False
attentivefp,bbbp,5,valid-fit,1,0.08979412494845565,0.04682964594681893,0.07434306718857968,0.023071595334186425,-0.015451057759875955,0.03778518859375114,False,False
attentivefp,clintox,5,valid-fit,2,0.06910911555083629,0.0447437274673535,0.06357302830556466,0.04086446118937753,-0.005536087245271644,0.0063913712743523254,False,False
attentivefp,bace,5,valid-fit,1,0.11185717457736896,0.03370304386053037,0.10934626826702683,0.016075052138225097,-0.0025109063103421424,0.028023522347419626,False,False
attentivefp,sider,5,valid-fit,27,0.17269708096131103,0.011562039093214672,0.16718467106787682,0.01869867060281174,-0.005512409893434189,0.007457881302990423,False,False
chemprop,tox21,5,valid-fit,12,0.027116138068594753,0.0017393536159187638,0.027260844393257867,0.0017850193438253325,0.000144706324663111,0.0009129276595429385,False,False
chemprop,bbbp,5,valid-fit,1,0.06520446321416587,0.018937250264208453,0.0673779434799219,0.014024896358098565,0.0021734802657560393,0.010690637710047517,False,False
chemprop,clintox,5,valid-fit,2,0.056149883773768526,0.018058124981798623,0.060252708579960665,0.024642905005241272,0.004102824806192151,0.012548289037523822,False,False
chemprop,bace,5,valid-fit,1,0.1164572128923684,0.019546565124988726,0.11192860652758743,0.02800944127124559,-0.004528606364780999,0.027242858714768396,False,False
chemprop,sider,5,valid-fit,27,0.1061364650709001,0.0037280971830775263,0.1127625177023825,0.005894985031649901,0.006626052631482396,0.005469198430000373,False,True
rf,tox21,5,valid-fit,12,0.027903872076555047,0.0025562011608806466,0.028420723667361293,0.0029617971713920975,0.0005168515908062415,0.002014142917864639,False,False
rf,bbbp,5,valid-fit,1,0.08752927064895631,0.02656109658153769,0.06809955992349766,0.028606613411387927,-0.019429710725458665,0.0208159167910902,False,False
rf,clintox,5,valid-fit,2,0.06460142920951586,0.010767857506831933,0.06282671988010406,0.009400013975200346,-0.001774709329411786,0.001572635218905405,True,False
gnn,tox21,5,valid-fit,12,0.0620049606580924,0.01554170099849299,0.050797072452398916,0.007553955427873659,-0.011207888205693482,0.010085245486360066,True,False
gnn,bbbp,5,valid-fit,1,0.09545946737615076,0.048556618746434715,0.08558572612157683,0.022669921475051553,-0.009873741254573905,0.04693343918889749,False,False
gnn,clintox,5,valid-fit,2,0.06803724749668225,0.0440917778153193,0.05664182257007908,0.024154456797290298,-0.01139542492660316,0.02037384106075694,False,False
trf,tox21,5,valid-fit,12,0.032798977716964446,0.005688455795976458,0.0341167577302646,0.006566781623226299,0.001317780013300148,0.001664570519714065,False,False
trf,bbbp,5,valid-fit,1,0.14928267519648483,0.1713683261328916,0.11004001012662563,0.09950513063723962,-0.039242665069859184,0.07849507453051124,False,False
trf,clintox,5,valid-fit,2,0.023090747039060337,0.0187991687023239,0.021263645549078246,0.013030898578062245,-0.0018271014899820894,0.010215242786338511,False,False
hybrid,tox21,5,valid-fit,12,0.09144460250792973,0.014756927307499999,0.05892098048749855,0.00923238905471002,-0.03252362202043117,0.010083173392281633,True,False
hybrid,bbbp,5,valid-fit,1,0.11115204281923248,0.07512709769844267,0.09856729606302772,0.0787280061226657,-0.012584746756204756,0.011613175040990166,True,False
hybrid,clintox,5,valid-fit,2,0.0907481499217652,0.02695709307972707,0.06482095827121993,0.021579133965196576,-0.02592719165054529,0.047188899227255346,False,False
ens,tox21,5,valid-fit,12,0.08167233967863911,0.011299070836245324,0.050428101155604366,0.006636069249267862,-0.03124423852303475,0.012751489477602872,True,False
ens,bbbp,5,valid-fit,1,0.10790377657587935,0.08151740054027641,0.09694031465344313,0.08020546914753705,-0.010963461922436218,0.014112162507285813,False,False
ens,clintox,5,valid-fit,2,0.02913299396231368,0.017309902276063674,0.02390253012244766,0.012827555093637845,-0.005230463839866021,0.006148874094871447,False,False
