dataset,model,oof_auc,oof_ap,oof_acc,oof_bal_acc,oof_f1,oof_n_tasks_scored,val_auc,val_ap,val_acc,val_bal_acc,val_f1,val_n_tasks_scored,test_auc,test_ap,test_acc,test_bal_acc,test_f1,test_n_tasks_scored,oof_rmse,oof_mae,oof_r2,oof_rmse_norm,oof_mae_norm,oof_n_scored,val_rmse,val_mae,val_r2,val_rmse_norm,val_mae_norm,val_n_scored,test_rmse,test_mae,test_r2,test_rmse_norm,test_mae_norm,test_n_scored
tox21,rf,0.7709235710536908,0.29884354042988964,0.7604878886562173,0.7092392740588469,0.29265057110764847,12.0,0.7636861573004032,0.42355190995973446,0.6935189463743333,0.6898387172124787,0.32921283562312137,12.0,0.7307297990070715,0.3542745356130151,0.6836461314544865,0.6592373322445293,0.2914527857003954,12.0,,,,,,,,,,,,,,,,,,
tox21,gnn,0.7784415729698201,0.2718894482972765,0.7344867869765435,0.7243775789039842,0.28618014616365883,12.0,0.7538597014215624,0.31572177273656543,0.6432208882991185,0.6886147445402674,0.2971805633506673,12.0,0.7228955347490991,0.3210555163846795,0.638460076882384,0.6467261735130754,0.25382012020240263,12.0,,,,,,,,,,,,,,,,,,
tox21,trf,0.7532784843420002,0.25567089086034966,0.7828493095416258,0.6876448748720283,0.27429608701177477,12.0,0.7256734600042004,0.29845185705757876,0.6318738204123178,0.6479401423116972,0.26318576519686526,12.0,0.7057529698951788,0.28198531211540295,0.632997650194918,0.6437320250793133,0.24826467198913962,12.0,,,,,,,,,,,,,,,,,,
tox21,hybrid,0.778533892242549,0.2901263705218364,0.7383585378331493,0.7285586501608524,0.2879917731195922,12.0,0.7652923839174437,0.39064128811482757,0.5944196019838153,0.6761280947986653,0.2779581624534036,12.0,0.7539105808338546,0.37454896911044927,0.5987574275368154,0.6700564856125789,0.2588491367089858,12.0,,,,,,,,,,,,,,,,,,
tox21,ens,0.7859814680075728,0.30471505947500743,0.7365163630834962,0.7311287114118671,0.2974146945722208,12.0,0.7715935410804479,0.3830965004961689,0.6208947210674688,0.6876044721413215,0.2920539961104744,12.0,0.747541654778796,0.3796485707043913,0.6223559090949161,0.660447883405426,0.26290616383905185,12.0,,,,,,,,,,,,,,,,,,
bbbp,rf,0.8679652343850446,0.9626157297499242,0.8191293684855917,0.7751484995757154,0.8846304262807978,1.0,0.9723408385093169,0.9769435259656746,0.8774509803921569,0.8825698757763976,0.8815165876777251,1.0,0.7161576259755275,0.7521301780611853,0.6568627450980392,0.6531457751228442,0.6902654867256637,1.0,,,,,,,,,,,,,,,,,,
bbbp,gnn,0.8333834760472112,0.9509505943217909,0.8571428571428571,0.7617809663400962,0.912832023943135,1.0,0.9238159937888198,0.9323904166287847,0.8725490196078431,0.8616071428571428,0.8934426229508197,1.0,0.6763657385104538,0.6719922612240137,0.5784313725490197,0.5615184507177955,0.6928571428571428,1.0,,,,,,,,,,,,,,,,,,
bbbp,trf,0.9024891357453264,0.9775390613150823,0.7749846719803801,0.8185695183728047,0.8458630827383452,1.0,0.9878687888198758,0.9900946393518968,0.8480392156862745,0.8606366459627328,0.841025641025641,1.0,0.7176028519125156,0.7288461305130542,0.5245098039215687,0.5448020040466326,0.224,1.0,,,,,,,,,,,,,,,,,,
bbbp,hybrid,0.9091516881380339,0.9737217960340232,0.8473329245861435,0.8382434621615367,0.901775147928994,1.0,0.9899068322981366,0.991648531973545,0.9264705882352942,0.9262422360248448,0.9327354260089686,1.0,0.7571056941901917,0.78084859036353,0.7107843137254902,0.7117737739666634,0.714975845410628,1.0,,,,,,,,,,,,,,,,,,
bbbp,ens,0.8866080382627478,0.9694667504546831,0.8179031269160024,0.8081848337576178,0.881437125748503,1.0,0.9924301242236024,0.9938890545869526,0.946078431372549,0.9440993788819876,0.9515418502202643,1.0,0.756334907023798,0.7807946332073191,0.7058823529411765,0.7061373928124097,0.7142857142857143,1.0,,,,,,,,,,,,,,,,,,
clintox,rf,0.8241284936837279,0.6475255975986453,0.761402027027027,0.7490606195777794,0.6000399170058919,2.0,0.9084471367210354,0.6457358513182154,0.8006756756756757,0.8218299156641979,0.5812737642585551,2.0,0.7699023389983666,0.6801278840043271,0.7567567567567568,0.7456287144197686,0.5787304752409438,2.0,,,,,,,,,,,,,,,,,,
clintox,gnn,0.8613819487007415,0.6815206499834201,0.7660472972972974,0.789360652351457,0.6077832511156158,2.0,0.9499175906502847,0.754456171183658,0.9054054054054054,0.9165507227763745,0.6867500315776178,2.0,0.8906083828589303,0.71435521231661,0.8513513513513513,0.7730606818892711,0.6492652348165656,2.0,,,,,,,,,,,,,,,,,,
clintox,trf,0.9735546898197822,0.9275464908914137,0.9704391891891893,0.8449313771484017,0.8783414486026916,2.0,0.9657573098163449,0.8620040415501256,0.6621621621621622,0.8234067525721706,0.4972563567509081,2.0,0.9806754596322942,0.9643921769498449,0.8378378378378378,0.8902721301219894,0.6996652319464371,2.0,,,,,,,,,,,,,,,,,,
clintox,hybrid,0.9255675922065886,0.8906578601474912,0.9003378378378378,0.8791021545873035,0.7456689077267855,2.0,0.9841602808339398,0.9113626429316642,0.9358108108108107,0.892564607503175,0.7464810760087581,2.0,0.9953159211761027,0.9882319879043888,0.9391891891891893,0.967482535710562,0.8096655160099988,2.0,,,,,,,,,,,,,,,,,,
clintox,ens,0.9735546898197822,0.9275464908914137,0.9704391891891893,0.8449313771484017,0.8783414486026916,2.0,0.9657573098163449,0.8620040415501256,0.6621621621621622,0.8234067525721706,0.4972563567509081,2.0,0.9806754596322942,0.9643921769498449,0.8378378378378378,0.8902721301219894,0.6996652319464371,2.0,,,,,,,,,,,,,,,,,,
esol,rf,,,,,,,,,,,,,,,,,,,1.7397990468676636,1.3111957017460643,0.29134772249006724,0.8418148696699761,0.634431913711213,902.0,1.8022681461545753,1.3954056247567712,0.16881525272150488,0.8720410137578757,0.6751775190682259,113.0,1.6849522140310413,1.3008783694323593,0.36809264606405834,0.8152768166004001,0.629439794780788,113.0
esol,gnn,,,,,,,,,,,,,,,,,,,1.2702572255985976,0.9686880046453151,0.6222379225987704,0.6146235237568595,0.4687069853552991,902.0,1.2166542257371784,0.9798281962214234,0.6212147239572823,0.5886873086385092,0.4740972509360419,113.0,1.1831096030448665,0.9001106321919146,0.6884496874614339,0.5724564903548129,0.43552530729994837,113.0
esol,trf,,,,,,,,,,,,,,,,,,,1.441646274626063,1.1513415365684936,0.5134220345383151,0.6975514057037285,0.5570852721738268,902.0,1.4547740111693435,1.161802218299779,0.4584359601781889,0.7039033598832299,0.5621467517993817,113.0,1.4571107788205913,1.133474532715068,0.5274330183986133,0.7050340225073564,0.5484401878192032,113.0
esol,hybrid,,,,,,,,,,,,,,,,,,,1.2740197722849178,0.9203666516701746,0.6199967190622104,0.61644406030335,0.44532633485415013,902.0,1.151803026481324,0.933913850311496,0.660519227362751,0.5573085675432101,0.4518812489283757,113.0,1.162738921753571,0.9225657441862207,0.6990858202827177,0.5625999828189604,0.44639038232740313,113.0
esol,ens,,,,,,,,,,,,,,,,,,,1.3276125936294774,0.9667135741001087,0.5873539075295118,0.6423753504696724,0.4677516422683617,902.0,1.138050946825924,0.9319247612910538,0.6685773693995987,0.55065452024755,0.45091881322781596,113.0,1.1238419116055627,0.8937555693880382,0.7188819828393878,0.5437793715608671,0.4324503623080992,113.0
lipophilicity,rf,,,,,,,,,,,,,,,,,,,0.9515820133491286,0.7440573470805318,0.38253930473106257,0.7857866727590693,0.6144192921917281,3360.0,1.0002371175570226,0.7986383025969056,0.3249333183113786,0.8259645364764656,0.6594905386314045,420.0,0.9601661357922867,0.7592674680162315,0.24353410039323242,0.7928751726661087,0.6269793344735921,420.0
lipophilicity,gnn,,,,,,,,,,,,,,,,,,,0.7650977108658579,0.5731628763565227,0.6008366362153224,0.6317937667200163,0.47329998175991933,3360.0,0.7573262405758474,0.5650329485878519,0.6130037557500363,0.625376329551211,0.4665865416134087,420.0,0.7901167594123045,0.596705386615707,0.4877533419680635,0.6524537147193666,0.4927406506097343,420.0
lipophilicity,trf,,,,,,,,,,,,,,,,,,,1.0546332249255048,0.8411505584435982,0.24156255433080998,0.870883141095406,0.6945958302454008,3360.0,1.0544390929877303,0.8565425611636794,0.24978846379108743,0.8707228330112681,0.7073060648177661,420.0,0.9770038733625568,0.7869941616888311,0.21677028293250766,0.8067792498728293,0.6498751711560458,420.0
lipophilicity,hybrid,,,,,,,,,,,,,,,,,,,0.7268157561423301,0.5497416948483584,0.6397818962673387,0.6001817255013709,0.45395950239901484,3360.0,0.747665061076779,0.5706751398451275,0.622814566117929,0.6173984296045927,0.471245686734827,420.0,0.749455908185738,0.5683732923172548,0.539119045947996,0.6188772551513433,0.4693448930199901,420.0
lipophilicity,ens,,,,,,,,,,,,,,,,,,,0.7277296747337345,0.5499553348099226,0.6388754299499751,0.60093641089794,0.4541359195992256,3360.0,0.7450919890948203,0.5676998748672138,0.625406248683416,0.6152736672161604,0.46878880594602035,420.0,0.7499978415246835,0.5676259774228481,0.5384522767491091,0.6193247667575876,0.4687277837470728,420.0
