dataset,band,n,graph,seq,desc
tox21,0.0-0.3,57,0.0062179830856621265,0.16269263625144958,0.831089437007904
tox21,0.3-0.4,153,0.0061536552384495735,0.16626958549022675,0.827576756477356
tox21,0.4-0.5,192,0.006428789347410202,0.17254672944545746,0.8210244178771973
tox21,0.5-0.7,264,0.006981785409152508,0.18610642850399017,0.806911826133728
tox21,0.7-1.0,117,0.008647102862596512,0.21656839549541473,0.7747844457626343
tox21,0.0-0.3,70,0.01106434315443039,0.3264625072479248,0.662473201751709
tox21,0.3-0.4,149,0.00987535621970892,0.2794211506843567,0.7107033729553223
tox21,0.4-0.5,169,0.010450617410242558,0.2877233028411865,0.7018260955810547
tox21,0.5-0.7,250,0.012431119568645954,0.34656786918640137,0.6410009860992432
tox21,0.7-1.0,145,0.013768159784376621,0.40070807933807373,0.5855237245559692
tox21,0.0-0.3,54,0.0016297841211780906,0.09388453513383865,0.9044857025146484
tox21,0.3-0.4,129,0.001826353371143341,0.10266364365816116,0.8955100178718567
tox21,0.4-0.5,182,0.0018287465209141374,0.10378967225551605,0.8943817019462585
tox21,0.5-0.7,297,0.0017957160016521811,0.10181205719709396,0.8963922262191772
tox21,0.7-1.0,121,0.001736297970637679,0.09945660084486008,0.8988071084022522
tox21,0.0-0.3,72,0.008848441764712334,0.17136825621128082,0.8197833299636841
tox21,0.3-0.4,146,0.008776145055890083,0.17270268499851227,0.8185211420059204
tox21,0.4-0.5,179,0.009574076160788536,0.1822178214788437,0.8082081079483032
tox21,0.5-0.7,272,0.010044577531516552,0.1964295357465744,0.7935259342193604
tox21,0.7-1.0,114,0.011124473996460438,0.2195224165916443,0.7693530917167664
tox21,0.0-0.3,54,0.006419237237423658,0.15361268818378448,0.8399679660797119
tox21,0.3-0.4,158,0.0065686446614563465,0.14213266968727112,0.8512986302375793
tox21,0.4-0.5,181,0.006810587365180254,0.1511429250240326,0.8420464992523193
tox21,0.5-0.7,263,0.0069882795214653015,0.15172474086284637,0.8412870168685913
tox21,0.7-1.0,127,0.009822036139667034,0.18366676568984985,0.8065111637115479
clintox,0.0-0.3,49,0.002976106246933341,0.904200553894043,0.09282328188419342
clintox,0.3-0.4,34,0.003075241344049573,0.9528114199638367,0.04411335662007332
clintox,0.4-0.5,22,0.0030387258157134056,0.9352684617042542,0.0616927407681942
clintox,0.5-0.7,31,0.002943408442661166,0.9048076868057251,0.09224886447191238
clintox,0.7-1.0,12,0.00310601107776165,0.9412092566490173,0.055684756487607956
clintox,0.0-0.3,39,0.004392913542687893,0.871371328830719,0.12423572689294815
clintox,0.3-0.4,28,0.004707336891442537,0.9019723534584045,0.09332029521465302
clintox,0.4-0.5,23,0.004296090453863144,0.8707097768783569,0.12499404698610306
clintox,0.5-0.7,44,0.0042146784253418446,0.8669281005859375,0.12885713577270508
clintox,0.7-1.0,14,0.0036838252563029528,0.7753422856330872,0.22097374498844147
clintox,0.0-0.3,36,0.007547125220298767,0.9126837253570557,0.07976911962032318
clintox,0.3-0.4,24,0.007481736596673727,0.9321346282958984,0.06038370355963707
clintox,0.4-0.5,27,0.007416370324790478,0.9269185662269592,0.06566499173641205
clintox,0.5-0.7,50,0.007458651438355446,0.909450352191925,0.08309094607830048
clintox,0.7-1.0,11,0.007404940202832222,0.8665239810943604,0.12607106566429138
clintox,0.0-0.3,36,0.01631864532828331,0.8563493490219116,0.12733200192451477
clintox,0.3-0.4,31,0.018242139369249344,0.9128307700157166,0.06892711669206619
clintox,0.4-0.5,30,0.015320210717618465,0.8914212584495544,0.09325850009918213
clintox,0.5-0.7,42,0.01652115024626255,0.893709659576416,0.08976925909519196
clintox,0.0-0.3,39,0.0019176227506250143,0.9100914001464844,0.08799099177122116
clintox,0.3-0.4,28,0.0019363377941772342,0.9420677423477173,0.05599600076675415
clintox,0.4-0.5,20,0.001877295202575624,0.9269145727157593,0.07120810449123383
clintox,0.5-0.7,45,0.0018684370443224907,0.8945850133895874,0.10354664921760559
clintox,0.7-1.0,16,0.0018462929874658585,0.8514921069145203,0.14666160941123962
freesolv,0.3-0.4,12,0.013774930499494076,0.35358867049217224,0.6326363682746887
freesolv,0.4-0.5,13,0.013201063498854637,0.33810025453567505,0.6486986875534058
freesolv,0.5-0.7,22,0.011790826916694641,0.25635817646980286,0.7318510413169861
freesolv,0.7-1.0,15,0.011857504025101662,0.24746747314929962,0.7406749725341797
freesolv,0.3-0.4,15,0.007535773329436779,0.2968004643917084,0.6956637501716614
freesolv,0.5-0.7,23,0.00945298932492733,0.24374555051326752,0.7468014359474182
freesolv,0.7-1.0,15,0.007837985642254353,0.15193583071231842,0.8402261137962341
freesolv,0.3-0.4,13,0.007734434679150581,0.25566717982292175,0.7365983128547668
freesolv,0.5-0.7,22,0.006962690968066454,0.22261013090610504,0.7704271674156189
freesolv,0.7-1.0,16,0.006325948052108288,0.17680786550045013,0.8168661594390869
freesolv,0.3-0.4,10,0.006040855776518583,0.25678467750549316,0.7371745109558105
freesolv,0.4-0.5,12,0.005723054055124521,0.21735286712646484,0.7769241333007812
freesolv,0.5-0.7,18,0.005232023075222969,0.1949639916419983,0.7998040318489075
freesolv,0.7-1.0,19,0.004807158373296261,0.17248840630054474,0.8227044343948364
freesolv,0.4-0.5,15,0.016702210530638695,0.09294481575489044,0.8903529047966003
freesolv,0.5-0.7,22,0.018466366454958916,0.09887830913066864,0.8826553225517273
freesolv,0.7-1.0,16,0.017701247707009315,0.08470291644334793,0.8975958228111267
