dataset,variant,train_molecules,test_molecules,vocab_size,test_cyclic_molecules,test_murcko_scaffold_seen,test_brics_fragment_seen,test_no_vocab_hit,mean_brics_per_molecule
tox21,deepchem,6258,783,605,783,0.0,0.6198262811900523,0.1417624521072797,4.0638569604086845
tox21,seed0,6258,783,607,581,0.0,0.591316466986965,0.18646232439335889,2.86845466155811
tox21,seed1,6258,783,594,502,0.0,0.5407512453489466,0.2669220945083014,2.9310344827586206
tox21,seed2,6258,783,580,547,0.0,0.5981087594114415,0.24776500638569604,3.099616858237548
tox21,seed3,6258,783,596,581,0.0,0.5825497385438907,0.194125159642401,3.0715197956577267
tox21,seed4,6258,783,574,555,0.0,0.6024431967918558,0.22860791826309068,3.13154533844189
bbbp,deepchem,1631,204,260,204,0.0,0.5720758000169764,0.12254901960784313,4.0931372549019605
bbbp,seed0,1631,205,233,196,0.0,0.6070712349980643,0.2,3.770731707317073
bbbp,seed1,1631,205,259,200,0.0,0.563898567557104,0.06829268292682927,3.4048780487804877
bbbp,seed2,1631,205,235,195,0.0,0.6497018970189702,0.16097560975609757,3.8292682926829267
bbbp,seed3,1631,205,247,187,0.0,0.6458258543624397,0.16097560975609757,4.014634146341463
bbbp,seed4,1631,205,258,196,0.0,0.599008904374758,0.08292682926829269,3.5902439024390245
clintox,deepchem,1184,148,223,148,0.0,0.5506991881991883,0.20945945945945946,3.5
clintox,seed0,1184,148,201,132,0.0,0.6142958084134554,0.17567567567567569,4.283783783783784
clintox,seed1,1184,148,209,130,0.0,0.6322731201407671,0.16891891891891891,4.601351351351352
clintox,seed2,1184,148,216,130,0.0,0.6169184606684606,0.22972972972972974,4.20945945945946
clintox,seed3,1184,148,207,131,0.0,0.6071979446979446,0.22297297297297297,4.202702702702703
clintox,seed4,1184,148,210,133,0.0,0.6178529991029991,0.17567567567567569,4.527027027027027
esol,deepchem,902,113,92,113,0.0,0.32636957437842395,0.4690265486725664,2.4513274336283186
esol,seed0,902,114,87,89,0.0,0.3906328320802005,0.49122807017543857,2.0350877192982457
esol,seed1,902,114,90,76,0.0,0.3201754385964912,0.43859649122807015,1.9385964912280702
esol,seed2,902,114,92,65,0.0,0.2518170426065163,0.49122807017543857,1.7105263157894737
esol,seed3,902,114,85,64,0.0,0.28654970760233917,0.49122807017543857,1.8508771929824561
esol,seed4,902,114,86,70,0.0,0.3161445279866333,0.4473684210526316,2.289473684210526
lipophilicity,deepchem,3360,420,658,420,0.0,0.8115674603174603,0.04523809523809524,5.235714285714286
lipophilicity,seed0,3360,420,614,420,0.0,0.838375764447193,0.0380952380952381,5.05
lipophilicity,seed1,3360,420,607,419,0.0,0.850129440665155,0.030952380952380953,5.302380952380952
lipophilicity,seed2,3360,420,635,420,0.0,0.811517166695738,0.02142857142857143,5.1761904761904765
lipophilicity,seed3,3360,420,615,419,0.0,0.8203986291486293,0.04047619047619048,5.226190476190476
lipophilicity,seed4,3360,420,610,420,0.0,0.8586328420256991,0.02857142857142857,5.3880952380952385
bace,deepchem,1210,152,288,152,0.0,0.7968204858007489,0.02631578947368421,6.782894736842105
bace,seed0,1210,152,259,152,0.0,0.9269311280824439,0.0,7.065789473684211
bace,seed1,1210,152,274,152,0.0,0.9018562030075188,0.0,6.072368421052632
bace,seed2,1210,152,273,152,0.0,0.9500776087947141,0.0,7.907894736842105
bace,seed3,1210,152,267,152,0.0,0.9213936100449258,0.0,6.756578947368421
bace,seed4,1210,152,281,152,0.0,0.9214470105917474,0.006578947368421052,7.401315789473684
sider,deepchem,1141,143,228,143,0.0,0.635338644329219,0.09090909090909091,6.433566433566433
sider,seed0,1141,144,221,127,0.0,0.5831038979136804,0.1736111111111111,4.465277777777778
sider,seed1,1141,144,223,122,0.0,0.6151837200976694,0.1875,4.583333333333333
sider,seed2,1141,144,213,122,0.0,0.6141763651840644,0.19444444444444445,4.833333333333333
sider,seed3,1141,144,215,134,0.0,0.5829328657453657,0.1597222222222222,4.590277777777778
sider,seed4,1141,144,210,122,0.0,0.6363225219996054,0.22916666666666666,4.743055555555555
freesolv,deepchem,513,65,27,65,0.0,0.17794871794871794,0.5846153846153846,1.6923076923076923
freesolv,seed0,513,65,32,24,0.0,0.30205128205128207,0.5230769230769231,1.5692307692307692
freesolv,seed1,513,65,36,20,0.0,0.16282051282051282,0.7692307692307693,1.4153846153846155
freesolv,seed2,513,65,35,14,0.0,0.18205128205128204,0.7230769230769231,1.323076923076923
freesolv,seed3,513,65,35,11,0.0,0.2653846153846154,0.6923076923076923,1.4461538461538461
freesolv,seed4,513,65,32,8,0.0,0.28717948717948716,0.676923076923077,1.523076923076923
