dataset,variant,arm,metric,value,n_tasks,n_features
tox21,deepchem,desc,auc,0.6993147977059583,12,1237
tox21,deepchem,motif,auc,0.6136701622212356,12,605
tox21,deepchem,desc+motif,auc,0.6950393939142733,12,1842
tox21,seed0,desc,auc,0.7553902521577331,12,1237
tox21,seed0,motif,auc,0.6678371593718219,12,607
tox21,seed0,desc+motif,auc,0.7586785790724715,12,1844
tox21,seed1,desc,auc,0.7353827162086427,12,1237
tox21,seed1,motif,auc,0.6414424562929768,12,594
tox21,seed1,desc+motif,auc,0.7352647783170044,12,1831
tox21,seed2,desc,auc,0.7265481956411145,12,1237
tox21,seed2,motif,auc,0.6550722456141457,12,580
tox21,seed2,desc+motif,auc,0.7265134280581407,12,1817
tox21,seed3,desc,auc,0.7869287143587683,12,1237
tox21,seed3,motif,auc,0.6584072689610537,12,596
tox21,seed3,desc+motif,auc,0.7900861533394434,12,1833
tox21,seed4,desc,auc,0.7905187559009453,12,1237
tox21,seed4,motif,auc,0.6423340921327875,12,574
tox21,seed4,desc+motif,auc,0.7907545640762662,12,1811
bbbp,deepchem,desc,auc,0.7076789671451972,1,1233
bbbp,deepchem,motif,auc,0.6756431255419597,1,260
bbbp,deepchem,desc+motif,auc,0.7127854321225552,1,1493
bbbp,seed0,desc,auc,0.8301886792452831,1,1234
bbbp,seed0,motif,auc,0.8371400198609732,1,233
bbbp,seed0,desc+motif,auc,0.8295680238331677,1,1467
bbbp,seed1,desc,auc,0.8669523809523809,1,1234
bbbp,seed1,motif,auc,0.6565714285714286,1,259
bbbp,seed1,desc+motif,auc,0.8692380952380953,1,1493
bbbp,seed2,desc,auc,0.8648755121336275,1,1234
bbbp,seed2,motif,auc,0.7430664985817838,1,235
bbbp,seed2,desc+motif,auc,0.8603057043807122,1,1469
bbbp,seed3,desc,auc,0.9102564102564102,1,1234
bbbp,seed3,motif,auc,0.7358597285067873,1,247
bbbp,seed3,desc+motif,auc,0.9089994972347913,1,1481
bbbp,seed4,desc,auc,0.9292287467134093,1,1233
bbbp,seed4,motif,auc,0.9063686824423021,1,258
bbbp,seed4,desc+motif,auc,0.9327344434706398,1,1491
clintox,deepchem,desc,auc,0.9248609807805929,2,1233
clintox,deepchem,motif,auc,0.7770109998957355,2,223
clintox,deepchem,desc+motif,auc,0.9259105758871164,2,1456
clintox,seed0,desc,auc,0.9105525362318841,2,1233
clintox,seed0,motif,auc,0.7775427018633541,2,201
clintox,seed0,desc+motif,auc,0.914149844720497,2,1434
clintox,seed1,desc,auc,0.8315217391304348,2,1234
clintox,seed1,motif,auc,0.721376811594203,2,209
clintox,seed1,desc+motif,auc,0.8315217391304348,2,1443
clintox,seed2,desc,auc,0.9522569444444444,2,1233
clintox,seed2,motif,auc,0.875,2,216
clintox,seed2,desc+motif,auc,0.953125,2,1449
clintox,seed3,desc,auc,0.8618233618233617,2,1234
clintox,seed3,motif,auc,0.6652421652421652,2,207
clintox,seed3,desc+motif,auc,0.8737891737891739,2,1441
clintox,seed4,desc,auc,0.6922796730632551,2,1233
clintox,seed4,motif,auc,0.6484569633037818,2,210
clintox,seed4,desc+motif,auc,0.701369561964613,2,1443
esol,deepchem,desc,rmse,1.2201461785141332,1,1212
esol,deepchem,motif,rmse,2.520870387892571,1,92
esol,deepchem,desc+motif,rmse,1.1804401155746582,1,1304
esol,seed0,desc,rmse,0.7077991846135337,1,1221
esol,seed0,motif,rmse,3.115999939775789,1,87
esol,seed0,desc+motif,rmse,0.7120064658915579,1,1308
esol,seed1,desc,rmse,1.020242744656567,1,1218
esol,seed1,motif,rmse,2.0870753339510357,1,90
esol,seed1,desc+motif,rmse,1.0113323299191748,1,1308
esol,seed2,desc,rmse,0.8170150092547919,1,1219
esol,seed2,motif,rmse,2.3963083326467367,1,92
esol,seed2,desc+motif,rmse,0.804549508469662,1,1311
esol,seed3,desc,rmse,0.961032626299519,1,1219
esol,seed3,motif,rmse,2.1269571768791,1,85
esol,seed3,desc+motif,rmse,0.9393198301496362,1,1304
esol,seed4,desc,rmse,1.0101091999098277,1,1218
esol,seed4,motif,rmse,2.18789348726275,1,86
esol,seed4,desc+motif,rmse,1.036513440347895,1,1304
lipophilicity,deepchem,desc,rmse,0.9710637693302561,1,1231
lipophilicity,deepchem,motif,rmse,0.9798148528449224,1,658
lipophilicity,deepchem,desc+motif,rmse,0.961819275485535,1,1889
lipophilicity,seed0,desc,rmse,0.8387566403280233,1,1231
lipophilicity,seed0,motif,rmse,1.0133237560294732,1,614
lipophilicity,seed0,desc+motif,rmse,0.8485895611390029,1,1845
lipophilicity,seed1,desc,rmse,0.8404316854556501,1,1231
lipophilicity,seed1,motif,rmse,1.0139506312283562,1,607
lipophilicity,seed1,desc+motif,rmse,0.8764115778356297,1,1838
