dataset,task,aromatic_molecules,kekule_fraction,canonicalised,notation_auc,notation_spearman
tox21,0,4625,0.0,False,,
tox21,1,4208,0.0,False,,
tox21,2,4047,0.0,False,,
tox21,3,3561,0.0,False,,
tox21,4,3809,0.0,False,,
tox21,5,4370,0.0,False,,
tox21,6,3955,0.0,False,,
tox21,7,3621,0.0,False,,
tox21,8,4456,0.0,False,,
tox21,9,4093,0.0,False,,
tox21,10,3538,0.0,False,,
tox21,11,4236,0.0,False,,
bbbp,0,1621,0.5206662553979025,True,0.8268976416549404,
clintox,0,1105,0.08687782805429867,True,0.9950932286555447,
clintox,1,1105,0.08687782805429867,True,1.0,
esol,0,662,0.0,False,,
lipophilicity,0,4153,0.0016855285335901637,False,,0.05498594802085387
bace,0,1498,0.0006675567423231055,False,0.500616522811344,
sider,0,1048,1.0,False,,
sider,1,1048,1.0,False,,
sider,2,1048,1.0,False,,
sider,3,1048,1.0,False,,
sider,4,1048,1.0,False,,
sider,5,1048,1.0,False,,
sider,6,1048,1.0,False,,
sider,7,1048,1.0,False,,
sider,8,1048,1.0,False,,
sider,9,1048,1.0,False,,
sider,10,1048,1.0,False,,
sider,11,1048,1.0,False,,
sider,12,1048,1.0,False,,
sider,13,1048,1.0,False,,
sider,14,1048,1.0,False,,
sider,15,1048,1.0,False,,
sider,16,1048,1.0,False,,
sider,17,1048,1.0,False,,
sider,18,1048,1.0,False,,
sider,19,1048,1.0,False,,
sider,20,1048,1.0,False,,
sider,21,1048,1.0,False,,
sider,22,1048,1.0,False,,
sider,23,1048,1.0,False,,
sider,24,1048,1.0,False,,
sider,25,1048,1.0,False,,
sider,26,1048,1.0,False,,
freesolv,0,267,0.0,False,,
