dataset,model,metric,thresholds
tox21,rf,bal_acc,"[0.35, 0.05, 0.2, 0.05, 0.2, 0.05, 0.05, 0.1, 0.05, 0.05, 0.15, 0.1]"
tox21,gnn,bal_acc,"[0.9, 0.7, 0.5499999999999999, 0.5499999999999999, 0.5499999999999999, 0.39999999999999997, 0.6, 0.49999999999999994, 0.39999999999999997, 0.49999999999999994, 0.5499999999999999, 0.49999999999999994]"
tox21,trf,bal_acc,"[0.05, 0.05, 0.15, 0.05, 0.15, 0.05, 0.05, 0.15, 0.1, 0.05, 0.2, 0.1]"
tox21,hybrid,bal_acc,"[0.05, 0.05, 0.15, 0.1, 0.1, 0.05, 0.05, 0.15, 0.05, 0.05, 0.15, 0.1]"
tox21,ens,f1,"[0.35, 0.25, 0.25, 0.25, 0.15, 0.5499999999999999, 0.1, 0.15, 0.15, 0.1, 0.25, 0.15]"
bbbp,rf,bal_acc,[0.49999999999999994]
bbbp,gnn,bal_acc,[0.44999999999999996]
bbbp,trf,bal_acc,[0.35]
bbbp,hybrid,bal_acc,[0.49999999999999994]
bbbp,ens,f1,[0.65]
clintox,rf,bal_acc,"[0.95, 0.05]"
clintox,gnn,bal_acc,"[0.65, 0.44999999999999996]"
clintox,trf,bal_acc,"[0.95, 0.05]"
clintox,hybrid,bal_acc,"[0.95, 0.05]"
clintox,ens,f1,"[0.85, 0.15]"
