dataset,model,ece_valid_raw,ece_valid_cal,ece_test_raw,ece_test_cal
tox21,rf,0.04016008834865663,0.04163284398052937,0.03994038106605352,0.039745243270033384
tox21,gnn,0.13734865708860944,0.11181716986725608,0.14702212306298315,0.11885890022719266
tox21,trf,0.03741506192294372,0.038200792906679513,0.04136478257074507,0.04447481734642647
tox21,hybrid,0.12914573013422842,0.11041942767655626,0.13347574600726606,0.11095206732586144
bbbp,rf,0.07936688059685276,0.07825103314483865,0.2604730880143595,0.26211204745021516
bbbp,gnn,0.08524486188795055,0.09198142529702655,0.28232517312554756,0.15813959784367504
bbbp,trf,0.09350932550196553,0.07357487725276574,0.22187743525879056,0.1532160335896062
bbbp,hybrid,0.07177627758652556,0.04077104376811608,0.12462251501924852,0.14960327160124687
clintox,rf,0.0686924832092749,0.05871805246617344,0.07275699280403758,0.06502623694974022
clintox,gnn,0.04214370411795539,0.04316598821330716,0.042785151383361295,0.04499474268507314
clintox,trf,0.015669018634267756,0.08573338691447233,0.012212793367940025,0.03435366781982215
clintox,hybrid,0.10978512707594279,0.03950992367557577,0.09160748929590794,0.03829683826581851
