dataset,model,oof_auc,oof_ap,oof_acc,oof_bal_acc,oof_f1,oof_n_tasks_scored,val_auc,val_ap,val_acc,val_bal_acc,val_f1,val_n_tasks_scored,test_auc,test_ap,test_acc,test_bal_acc,test_f1,test_n_tasks_scored,oof_rmse,oof_mae,oof_r2,oof_rmse_norm,oof_mae_norm,oof_n_scored,val_rmse,val_mae,val_r2,val_rmse_norm,val_mae_norm,val_n_scored,test_rmse,test_mae,test_r2,test_rmse_norm,test_mae_norm,test_n_scored
tox21,rf,0.7709235710536908,0.29884354042988964,0.7604878886562173,0.7092392740588469,0.29265057110764847,12.0,0.7636861573004032,0.42355190995973446,0.6935189463743333,0.6898387172124787,0.32921283562312137,12.0,0.7307297990070715,0.3542745356130151,0.6836461314544865,0.6592373322445293,0.2914527857003954,12.0,,,,,,,,,,,,,,,,,,
tox21,gnn,0.7784415729698201,0.2718894482972765,0.7344867869765435,0.7243775789039842,0.28618014616365883,12.0,0.7538597014215624,0.31572177273656543,0.6432208882991185,0.6886147445402674,0.2971805633506673,12.0,0.7228955347490991,0.3210555163846795,0.638460076882384,0.6467261735130754,0.25382012020240263,12.0,,,,,,,,,,,,,,,,,,
tox21,trf,0.7532784843420002,0.25567089086034966,0.7828493095416258,0.6876448748720283,0.27429608701177477,12.0,0.7228902051484875,0.3048805838371205,0.5692062877067282,0.6422865807094846,0.24632711466054721,12.0,0.7016140940423786,0.28485692383903743,0.5679605390390962,0.62735519970535,0.2284579754192132,12.0,,,,,,,,,,,,,,,,,,
tox21,hybrid,0.778533892242549,0.2901263705218364,0.7383585378331493,0.7285586501608524,0.2879917731195922,12.0,0.766665652782439,0.38304298752316074,0.5883536276854012,0.6752879503400383,0.2753024029737805,12.0,0.7524854371675,0.37008690799263083,0.5898603590284069,0.6672006428084898,0.2553578320219342,12.0,,,,,,,,,,,,,,,,,,
tox21,ens,0.7859814680075728,0.30471505947500743,0.7365163630834962,0.7311287114118671,0.2974146945722208,12.0,0.7714424130585664,0.37813514126145087,0.6285747572750217,0.693708222647686,0.30045434358658346,12.0,0.7513851533981991,0.37673925643373923,0.6294421891892024,0.6687991067448954,0.26936818882430164,12.0,,,,,,,,,,,,,,,,,,
bbbp,rf,0.8679652343850446,0.9626157297499242,0.8191293684855917,0.7751484995757154,0.8846304262807978,1.0,0.9723408385093169,0.9769435259656746,0.8774509803921569,0.8825698757763976,0.8815165876777251,1.0,0.7161576259755275,0.7521301780611853,0.6568627450980392,0.6531457751228442,0.6902654867256637,1.0,,,,,,,,,,,,,,,,,,
bbbp,gnn,0.8333834760472112,0.9509505943217909,0.8571428571428571,0.7617809663400962,0.912832023943135,1.0,0.9238159937888198,0.9323904166287847,0.8725490196078431,0.8616071428571428,0.8934426229508197,1.0,0.6763657385104538,0.6719922612240137,0.5784313725490197,0.5615184507177955,0.6928571428571428,1.0,,,,,,,,,,,,,,,,,,
bbbp,trf,0.9024891357453264,0.9775390613150823,0.7749846719803801,0.8185695183728047,0.8458630827383452,1.0,0.9903920807453416,0.9923076223888713,0.8970588235294118,0.90527950310559,0.8975609756097561,1.0,0.7132671741015512,0.7194096610961864,0.5588235294117647,0.5770305424414683,0.3283582089552239,1.0,,,,,,,,,,,,,,,,,,
bbbp,hybrid,0.9091516881380339,0.9737217960340232,0.8473329245861435,0.8382434621615367,0.901775147928994,1.0,0.9881599378881987,0.990181744882291,0.9215686274509803,0.9198369565217391,0.9292035398230089,1.0,0.755467771461605,0.7824892930649207,0.696078431372549,0.69390114654591,0.7181818181818181,1.0,,,,,,,,,,,,,,,,,,
bbbp,ens,0.8866080382627478,0.9694667504546831,0.8179031269160024,0.8081848337576178,0.881437125748503,1.0,0.9925271739130435,0.9939887814880051,0.9411764705882353,0.937694099378882,0.9478260869565217,1.0,0.7550823778784084,0.7681391242634934,0.7058823529411765,0.7061373928124097,0.7142857142857143,1.0,,,,,,,,,,,,,,,,,,
clintox,rf,0.8241284936837279,0.6475255975986453,0.761402027027027,0.7490606195777794,0.6000399170058919,2.0,0.9084471367210354,0.6457358513182154,0.8006756756756757,0.8218299156641979,0.5812737642585551,2.0,0.7699023389983666,0.6801278840043271,0.7567567567567568,0.7456287144197686,0.5787304752409438,2.0,,,,,,,,,,,,,,,,,,
clintox,gnn,0.8613819487007415,0.6815206499834201,0.7660472972972974,0.789360652351457,0.6077832511156158,2.0,0.9499175906502847,0.754456171183658,0.9054054054054054,0.9165507227763745,0.6867500315776178,2.0,0.8906083828589303,0.71435521231661,0.8513513513513513,0.7730606818892711,0.6492652348165656,2.0,,,,,,,,,,,,,,,,,,
clintox,trf,0.9735546898197822,0.9275464908914137,0.9704391891891893,0.8449313771484017,0.8783414486026916,2.0,0.9709837036402814,0.8957211770279094,0.6587837837837838,0.8216461891918889,0.4944884334730632,2.0,0.9827242553783061,0.9665422450463648,0.8581081081081081,0.9010634970284641,0.7131185807656396,2.0,,,,,,,,,,,,,,,,,,
clintox,hybrid,0.9255675922065886,0.8906578601474912,0.9003378378378378,0.8791021545873035,0.7456689077267855,2.0,0.9871195256646261,0.923215158104099,0.9358108108108107,0.9265183298371791,0.7754211793020458,2.0,0.9953159211761027,0.9882319879043888,0.9324324324324325,0.9638723803565843,0.7976851851851852,2.0,,,,,,,,,,,,,,,,,,
clintox,ens,0.9735546898197822,0.9275464908914137,0.9704391891891893,0.8449313771484017,0.8783414486026916,2.0,0.9709837036402814,0.8957211770279094,0.6587837837837838,0.8216461891918889,0.4944884334730632,2.0,0.9827242553783061,0.9665422450463648,0.8581081081081081,0.9010634970284641,0.7131185807656396,2.0,,,,,,,,,,,,,,,,,,
esol,rf,,,,,,,,,,,,,,,,,,,1.7397990468676636,1.3111957017460643,0.29134772249006724,0.8418148696699761,0.634431913711213,902.0,1.8022681461545753,1.3954056247567712,0.16881525272150488,0.8720410137578757,0.6751775190682259,113.0,1.6849522140310413,1.3008783694323593,0.36809264606405834,0.8152768166004001,0.629439794780788,113.0
esol,gnn,,,,,,,,,,,,,,,,,,,1.2702572255985976,0.9686880046453151,0.6222379225987704,0.6146235237568595,0.4687069853552991,902.0,1.2166542257371784,0.9798281962214234,0.6212147239572823,0.5886873086385092,0.4740972509360419,113.0,1.1831096030448665,0.9001106321919146,0.6884496874614339,0.5724564903548129,0.43552530729994837,113.0
esol,trf,,,,,,,,,,,,,,,,,,,1.441646274626063,1.1513415365684936,0.5134220345383151,0.6975514057037285,0.5570852721738268,902.0,1.4365726278185327,1.1262267360307512,0.471902726047307,0.6950964834908889,0.5449332868169366,113.0,1.412212381003502,1.0958544452094687,0.5561070354901378,0.6833095946345904,0.5302374251969818,113.0
esol,hybrid,,,,,,,,,,,,,,,,,,,1.2740197722849178,0.9203666516701746,0.6199967190622104,0.61644406030335,0.44532633485415013,902.0,1.187291540843536,0.9807622106716608,0.639277278911611,0.5744799524490665,0.47454918086100206,113.0,1.1999249311782514,0.9678991239793304,0.67953073364784,0.5805927134930822,0.4683252795047201,113.0
esol,ens,,,,,,,,,,,,,,,,,,,1.3276125936294774,0.9667135741001087,0.5873539075295118,0.6423753504696724,0.4677516422683617,902.0,1.1604689863501032,0.9582074810142086,0.6553916249008167,0.561501657481175,0.463635905077104,113.0,1.1463381588644135,0.9132233985964835,0.7075149107083019,0.5546643501958242,0.4418700180651076,113.0
lipophilicity,rf,,,,,,,,,,,,,,,,,,,0.9515820133491286,0.7440573470805318,0.38253930473106257,0.7857866727590693,0.6144192921917281,3360.0,1.0002371175570228,0.7986383025969056,0.3249333183113785,0.8259645364764656,0.6594905386314045,420.0,0.9601661357922867,0.7592674680162315,0.24353410039323242,0.7928751726661087,0.6269793344735921,420.0
lipophilicity,gnn,,,,,,,,,,,,,,,,,,,0.7650977108658579,0.5731628763565227,0.6008366362153224,0.6317937667200163,0.47329998175991933,3360.0,0.7573262405758474,0.5650329485878519,0.6130037557500363,0.625376329551211,0.4665865416134087,420.0,0.7901167594123045,0.596705386615707,0.4877533419680635,0.6524537147193666,0.4927406506097343,420.0
lipophilicity,trf,,,,,,,,,,,,,,,,,,,1.0546332249255048,0.8411505584435982,0.24156255433080998,0.870883141095406,0.6945958302454008,3360.0,1.0363848676942655,0.8369025731215566,0.27525894009266816,0.8558142182796133,0.6910879767915633,420.0,0.9984347392002338,0.7981648795819901,0.18203268038284692,0.8244761887858137,0.6590996007085778,420.0
lipophilicity,hybrid,,,,,,,,,,,,,,,,,,,0.7268157561423301,0.5497416948483584,0.6397818962673387,0.6001817255013709,0.45395950239901484,3360.0,0.7442570956576232,0.5681065536233759,0.6262452609115554,0.614584238320994,0.46912462854691384,420.0,0.7527966369150559,0.569957307351436,0.5350010990085245,0.6216359244788163,0.4706529231065707,420.0
lipophilicity,ens,,,,,,,,,,,,,,,,,,,0.7277296747337345,0.5499553348099226,0.6388754299499751,0.60093641089794,0.4541359195992256,3360.0,0.7419030566638017,0.5652460990483834,0.6286058478810845,0.6126403465254883,0.4667625545989722,420.0,0.7528626044638104,0.569214964413214,0.5349195997557776,0.6216903984179184,0.4700399195196085,420.0
