dataset,model,split,auc,ap,acc,bal_acc,f1,n_tasks_scored,rmse,mae,r2,rmse_norm,mae_norm,n_scored
tox21,rf,valid,0.7636861573004032,0.42355190995973446,0.9065236749271115,0.5731141464237804,0.22546034075560148,12.0,,,,,,
tox21,rf,test,0.7307297990070715,0.3542745356130151,0.9084480933936349,0.5628819007880216,0.2042004787491493,12.0,,,,,,
tox21,gnn,valid,0.7538597014215624,0.31572177273656543,0.6558476766361189,0.6820847810310743,0.28028087797386037,12.0,,,,,,
tox21,gnn,test,0.7228955347490991,0.32105551638467944,0.6525204977026413,0.6494239034710444,0.2538264135554159,12.0,,,,,,
tox21,trf,valid,0.7256734600042004,0.29845185705757876,0.9005159558163541,0.5296473848487454,0.1047140197305348,12.0,,,,,,
tox21,trf,test,0.7057529698951788,0.28198531211540295,0.9031228410705193,0.5254660171888781,0.09570559904437326,12.0,,,,,,
tox21,hybrid,valid,0.830268665009474,0.4875646720786413,0.9113052300551446,0.590126556709169,0.27180741728955793,12.0,,,,,,
tox21,hybrid,test,0.7507791875303735,0.3619672645663808,0.9100664747419396,0.5772744711679885,0.24207544045999627,12.0,,,,,,
tox21,ens,valid,0.8346433690627872,0.49370293763510137,0.9130778214185032,0.5918304340535733,0.2794429987517761,12.0,,,,,,
tox21,ens,test,0.7584539275502723,0.3724205726079273,0.9103122737974125,0.5746706043847102,0.23716253252422906,12.0,,,,,,
bbbp,rf,valid,0.9723408385093169,0.9769435259656746,0.8529411764705882,0.8379270186335404,0.8809523809523809,1.0,,,,,,
bbbp,rf,test,0.7161576259755275,0.7521301780611853,0.5735294117647058,0.5544368436265537,0.698961937716263,1.0,,,,,,
bbbp,gnn,valid,0.9238159937888198,0.9323904166287847,0.8872549019607843,0.8808229813664596,0.902127659574468,1.0,,,,,,
bbbp,gnn,test,0.6763657385104538,0.6719922612240137,0.5833333333333334,0.5695635417670295,0.6816479400749064,1.0,,,,,,
bbbp,trf,valid,0.9878687888198758,0.9900946393518968,0.8529411764705882,0.8369565217391304,0.8818897637795275,1.0,,,,,,
bbbp,trf,test,0.7176028519125156,0.7288461305130542,0.6029411764705882,0.5877733885730803,0.7032967032967034,1.0,,,,,,
bbbp,hybrid,valid,0.9881599378881987,0.9901867645760528,0.946078431372549,0.9411878881987578,0.9527896995708155,1.0,,,,,,
bbbp,hybrid,test,0.755371423065806,0.7788986179730996,0.6568627450980392,0.6483283553328837,0.7154471544715447,1.0,,,,,,
bbbp,ens,valid,0.9936917701863354,0.9950414989508791,0.946078431372549,0.9431288819875776,0.9519650655021834,1.0,,,,,,
bbbp,ens,test,0.7529627131708257,0.7702147149671332,0.7058823529411765,0.7051739088544176,0.719626168224299,1.0,,,,,,
clintox,rf,valid,0.9084471367210354,0.6457358513182154,0.9560810810810811,0.5,0.4896551724137931,2.0,,,,,,
clintox,rf,test,0.7699023389983666,0.6801278840043271,0.9358108108108107,0.5,0.4843205574912892,2.0,,,,,,
clintox,gnn,valid,0.9499175906502847,0.754456171183658,0.9155405405405406,0.7741876792670919,0.6687370600414079,2.0,,,,,,
clintox,gnn,test,0.8906083828589303,0.71435521231661,0.8952702702702702,0.773331769367115,0.680970625798212,2.0,,,,,,
clintox,trf,valid,0.9657573098163449,0.8620040415501256,0.9695945945945946,0.6887031408308004,0.7657828282828283,2.0,,,,,,
clintox,trf,test,0.9806754596322942,0.9643921769498449,0.9864864864864864,0.9176458832933653,0.9683078664402942,2.0,,,,,,
clintox,hybrid,valid,0.9825602551479087,0.8922041761560531,0.9628378378378378,0.5773809523809523,0.6163494809688581,2.0,,,,,,
clintox,hybrid,test,0.9941916032391478,0.9776500576837606,0.9695945945945946,0.7638888888888888,0.8262411347517731,2.0,,,,,,
clintox,ens,valid,0.9872800633588767,0.9090075811886573,0.9695945945945946,0.6547619047619047,0.7152777777777778,2.0,,,,,,
clintox,ens,test,0.9972395996246481,0.9953037667968959,0.9797297297297298,0.8648681055155876,0.9373015873015873,2.0,,,,,,
esol,rf,valid,,,,,,,1.8022681461545753,1.3954056247567712,0.16881525272150488,0.8720410137578757,0.6751775190682259,113.0
esol,rf,test,,,,,,,1.6849522140310413,1.3008783694323593,0.36809264606405834,0.8152768166004001,0.629439794780788,113.0
esol,gnn,valid,,,,,,,1.2166542257371784,0.9798281962214234,0.6212147239572823,0.5886873086385092,0.4740972509360419,113.0
esol,gnn,test,,,,,,,1.1831096030448665,0.9001106321919146,0.6884496874614339,0.5724564903548129,0.43552530729994837,113.0
esol,trf,valid,,,,,,,1.4547740111693435,1.161802218299779,0.4584359601781889,0.7039033598832299,0.5621467517993817,113.0
esol,trf,test,,,,,,,1.4571107788205913,1.133474532715068,0.5274330183986133,0.7050340225073564,0.5484401878192032,113.0
esol,hybrid,valid,,,,,,,1.0571107526717536,0.8582597177396875,0.7140436585636634,0.5114909978191242,0.4152754272010942,113.0
esol,hybrid,test,,,,,,,1.0760540053221765,0.8364538777411987,0.7422810405929705,0.5206568332584249,0.40472450731789217,113.0
esol,ens,valid,,,,,,,1.0571107526717536,0.8582597177396875,0.7140436585636634,0.5114909978191242,0.4152754272010942,113.0
esol,ens,test,,,,,,,1.0760540053221765,0.8364538777411987,0.7422810405929705,0.5206568332584249,0.40472450731789217,113.0
lipophilicity,rf,valid,,,,,,,1.0002371175570226,0.7986383025969056,0.3249333183113786,0.8259645364764656,0.6594905386314045,420.0
lipophilicity,rf,test,,,,,,,0.9601661357922867,0.7592674680162315,0.24353410039323242,0.7928751726661087,0.6269793344735921,420.0
lipophilicity,gnn,valid,,,,,,,0.7573262405758474,0.5650329485878519,0.6130037557500363,0.625376329551211,0.4665865416134087,420.0
lipophilicity,gnn,test,,,,,,,0.7901167594123045,0.596705386615707,0.4877533419680635,0.6524537147193666,0.4927406506097343,420.0
lipophilicity,trf,valid,,,,,,,1.0544390929877303,0.8565425611636794,0.24978846379108743,0.8707228330112681,0.7073060648177661,420.0
lipophilicity,trf,test,,,,,,,0.9770038733625568,0.7869941616888311,0.21677028293250766,0.8067792498728293,0.6498751711560458,420.0
lipophilicity,hybrid,valid,,,,,,,0.7316899728365436,0.5590600472172677,0.6387607372275561,0.6042067012414784,0.4616543064209941,420.0
lipophilicity,hybrid,test,,,,,,,0.7563437767337577,0.5736978173529497,0.530608672105692,0.6245650416298846,0.473741719308347,420.0
lipophilicity,ens,valid,,,,,,,0.7316899728365436,0.5590600472172677,0.6387607372275561,0.6042067012414784,0.4616543064209941,420.0
lipophilicity,ens,test,,,,,,,0.7563437767337577,0.5736978173529497,0.530608672105692,0.6245650416298846,0.473741719308347,420.0
