dataset,model,oof_auc,oof_ap,oof_acc,oof_bal_acc,oof_f1,oof_n_tasks_scored,val_auc,val_ap,val_acc,val_bal_acc,val_f1,val_n_tasks_scored,test_auc,test_ap,test_acc,test_bal_acc,test_f1,test_n_tasks_scored,oof_rmse,oof_mae,oof_r2,oof_rmse_norm,oof_mae_norm,oof_n_scored,val_rmse,val_mae,val_r2,val_rmse_norm,val_mae_norm,val_n_scored,test_rmse,test_mae,test_r2,test_rmse_norm,test_mae_norm,test_n_scored
tox21,rf,0.7603318765618173,0.29216236252715716,0.7515176892529748,0.6988888274929903,0.29352102025587407,12.0,0.8407203703295733,0.5080878324863755,0.8090393048999932,0.7558866888626475,0.3969329886114396,12.0,0.8054518624860659,0.40228286281350983,0.78543514343256,0.710159123014272,0.34197185037005734,12.0,,,,,,,,,,,,,,,,,,
tox21,gnn,0.776918971978935,0.3050659161548693,0.788724386353361,0.7266803117278449,0.30419803915739546,12.0,0.8352466914994142,0.44494727031995046,0.8580410977885058,0.7501096438698238,0.38413944668537864,12.0,0.7956020563364921,0.3631356888036659,0.8542412223109134,0.713692760118208,0.34161325767648193,12.0,,,,,,,,,,,,,,,,,,
tox21,trf,0.7404256209376899,0.2512996358435135,0.7528770104027923,0.677835580849168,0.2686581812168995,12.0,0.7830349584327095,0.37835793391574796,0.6973620062392074,0.6839153148540019,0.2676064546687507,12.0,0.77261032494275,0.27032898348232287,0.6821393006722469,0.6721785647845929,0.243451190919425,12.0,,,,,,,,,,,,,,,,,,
tox21,hybrid,0.7867880616233274,0.3182865456059989,0.7395509837014448,0.723925517165863,0.2840137040090871,12.0,0.8335389901969861,0.49676976622788244,0.8536886728128944,0.7590279376099515,0.3891780328510553,12.0,0.835356442503977,0.40908271775159305,0.8379875749739619,0.7454700761809198,0.34906402705959666,12.0,,,,,,,,,,,,,,,,,,
tox21,ens,0.7894963442454909,0.34101105579217994,0.76946241391838,0.7285858749793598,0.30403244763388704,12.0,0.8429252319177762,0.5057400892894984,0.870094130751118,0.767946478742576,0.41754029532117326,12.0,0.835575105919474,0.42661649974181187,0.8609420180768076,0.7504257116901537,0.38008757108454844,12.0,,,,,,,,,,,,,,,,,,
bbbp,rf,0.8994948451870148,0.9599758159418088,0.835683629675046,0.8258185320373945,0.887489504617968,1.0,0.9098472449536279,0.9699874984078852,0.8620689655172413,0.8284915439170759,0.9084967320261438,1.0,0.8613455809334658,0.9453619532999309,0.8292682926829268,0.7988455809334657,0.8821548821548821,1.0,,,,,,,,,,,,,,,,,,
bbbp,gnn,0.8590750840870965,0.9413042915825558,0.8240343347639485,0.7768351640014499,0.8830004076640848,1.0,0.9014593562465901,0.9670976952423787,0.8620689655172413,0.8136252045826514,0.9096774193548387,1.0,0.8371400198609732,0.9300117674151911,0.7951219512195122,0.74509682224429,0.86,1.0,,,,,,,,,,,,,,,,,,
bbbp,trf,0.8741854721100593,0.959342248014801,0.7755977927651747,0.8032393552901109,0.8371886120996441,1.0,0.9057555919258047,0.9687288831786792,0.729064039408867,0.801418439716312,0.7908745247148289,1.0,0.8896474677259186,0.9575632832170627,0.7560975609756098,0.8109483614697119,0.8091603053435115,1.0,,,,,,,,,,,,,,,,,,
bbbp,hybrid,0.9167874935722896,0.9688799053179503,0.8375229920294298,0.8417350181661847,0.8873778155546111,1.0,0.9361702127659574,0.9799322889090722,0.8669950738916257,0.8688625204582652,0.9090909090909091,1.0,0.909880834160874,0.965148099986709,0.8390243902439024,0.8361469712015889,0.8858131487889274,1.0,,,,,,,,,,,,,,,,,,
bbbp,ens,0.9061722879277062,0.964955730295617,0.8117719190680565,0.8332409569490925,0.86611426079372,1.0,0.9363066012002182,0.9809248015862337,0.8669950738916257,0.8762956901254773,0.9084745762711864,1.0,0.9052879841112214,0.9632799261976055,0.8341463414634146,0.8451464746772592,0.8802816901408451,1.0,,,,,,,,,,,,,,,,,,
